# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    197   1.970000000   0.032306045  -2.435420028
    198   1.980000000   0.007951845  -2.440701148
    199   1.990000000  -0.016455167  -2.442001261
    200   2.000000000  -0.040875179  -2.439310962
    201   2.010000000  -0.065268289  -2.432629731
    202   2.020000000  -0.089594586  -2.421965941
    203   2.030000000  -0.113814246  -2.407336816
    204   2.040000000  -0.137887614  -2.388768336
    205   2.050000000  -0.161775297  -2.366295084
    206   2.060000000  -0.185438248  -2.339960044
    207   2.070000000  -0.208837848  -2.309814358
    208   2.080000000  -0.231935992  -2.275917025
    209   2.090000000  -0.254695162  -2.238334571
    210   2.100000000  -0.277078508  -2.197140678
    211   2.110000000  -0.299049915  -2.152415783
    212   2.120000000  -0.320574073  -2.104246652
    213   2.130000000  -0.341616539  -2.052725931
    214   2.140000000  -0.362143798  -1.997951689
    215   2.150000000  -0.382123315  -1.940026943
    216   2.160000000  -0.401523585  -1.879059186
    217   2.170000000  -0.420314177  -1.815159919
    218   2.180000000  -0.438465776  -1.748444185
    219   2.190000000  -0.455950218  -1.679030117
    220   2.200000000  -0.472740519  -1.607038507
    221   2.210000000  -0.488810904  -1.532592388
    222   2.220000000  -0.504136828  -1.455816651
    223   2.230000000  -0.518694994  -1.376837676
    224   2.240000000  -0.532463371  -1.295783008
    225   2.250000000  -0.545421201  -1.212781052
    226   2.260000000  -0.557549012  -1.127960813
    227   2.270000000  -0.568828620  -1.041451656
    228   2.280000000  -0.579243136  -0.953383118
    229   2.290000000  -0.588776967  -0.863884740
    230   2.300000000  -0.597415815  -0.773085940
    231   2.310000000  -0.605146674  -0.681115920
    232   2.320000000  -0.611957833  -0.588103597
    233   2.330000000  -0.617838869  -0.494177573
    234   2.340000000  -0.622780645  -0.399466125
    235   2.350000000  -0.626775306  -0.304097226
    236   2.360000000  -0.629816279  -0.208198581
    237   2.370000000  -0.631898264  -0.111897686
    238   2.380000000  -0.633017241  -0.015321908
    239   2.390000000  -0.633170460   0.081401437
    240   2.400000000  -0.632356446   0.178144977
    241   2.410000000  -0.630574996   0.274781193
    242   2.420000000  -0.627827184   0.371182309
    243   2.430000000  -0.624115361   0.467220194
    244   2.440000000  -0.619443159   0.562766264
    245   2.450000000  -0.613815497   0.657691400
    246   2.460000000  -0.607238583   0.751865871
    247   2.470000000  -0.599719924   0.845159280
    248   2.480000000  -0.591268331   0.937440526
    249   2.490000000  -0.581893926   1.028577794
    250   2.500000000  -0.571608148   1.118438564
    251   2.510000000  -0.560423762   1.206889652
    252   2.520000000  -0.548354866   1.293797290
    253   2.530000000  -0.535416893   1.379027225
    254   2.540000000  -0.521626621   1.462444865
    255   2.550000000  -0.507002172   1.543915459
    256   2.560000000  -0.491563017   1.623304309
    257   2.570000000  -0.475329974   1.700477031
    258   2.580000000  -0.458325204   1.775299841
    259   2.590000000  -0.440572206   1.847639890
    260   2.600000000  -0.422095807   1.917365625
    261   2.610000000  -0.402922150   1.984347196
    262   2.620000000  -0.383078678   2.048456879
    263   2.630000000  -0.362594110   2.109569544
    264   2.640000000  -0.341498414   2.167563135
    265   2.650000000  -0.319822783   2.222319180
    266   2.660000000  -0.297599591   2.273723307
    267   2.670000000  -0.274862358   2.321665785
    268   2.680000000  -0.251645700   2.366042049
    269   2.690000000  -0.227985280   2.406753249
    270   2.700000000  -0.203917747   2.443706766
    271   2.710000000  -0.179480680   2.476816734
    272   2.720000000  -0.154712512   2.506004529
    273   2.730000000  -0.129652467   2.531199233
    274   2.740000000  -0.104340475   2.552338072
    275   2.750000000  -0.078817094   2.569366802
    276   2.760000000  -0.053123426   2.582240059
    277   2.770000000  -0.027301025   2.590921654
    278   2.780000000  -0.001391809   2.595384817
    279   2.790000000   0.024562039   2.595612378
    280   2.800000000   0.050518163   2.591596888
    281   2.810000000   0.076434132   2.583340681
    282   2.820000000   0.102267539   2.570855865
    283   2.830000000   0.127976098   2.554164253
    284   2.840000000   0.153517740   2.533297230
