# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    221   2.210000000  -0.532678374  -2.246557842
    222   2.220000000  -0.554723584  -2.161970026
    223   2.230000000  -0.575907758  -2.074377515
    224   2.240000000  -0.596201652  -1.983940485
    225   2.250000000  -0.615577620  -1.890819313
    226   2.260000000  -0.634009624  -1.795174061
    227   2.270000000  -0.651473219  -1.697164014
    228   2.280000000  -0.667945548  -1.596947295
    229   2.290000000  -0.683405331  -1.494680538
    230   2.300000000  -0.697832842  -1.390518628
    231   2.310000000  -0.711209896  -1.284614508
    232   2.320000000  -0.723519828  -1.177119044
    233   2.330000000  -0.734747468  -1.068180958
    234   2.340000000  -0.744879127  -0.957946809
    235   2.350000000  -0.753902566  -0.846561036
    236   2.360000000  -0.761806983  -0.734166043
    237   2.370000000  -0.768582991  -0.620902337
    238   2.380000000  -0.774222597  -0.506908698
    239   2.390000000  -0.778719190  -0.392322393
    240   2.400000000  -0.782067523  -0.277279413
    241   2.410000000  -0.784263705  -0.161914738
    242   2.420000000  -0.785305193  -0.046362622
    243   2.430000000  -0.785190779   0.069243110
    244   2.440000000  -0.783920597   0.184768756
    245   2.450000000  -0.781496117   0.300080432
    246   2.460000000  -0.777920150   0.415043762
    247   2.470000000  -0.773196854   0.529523588
    248   2.480000000  -0.767331744   0.643383687
    249   2.490000000  -0.760331704   0.756486512
    250   2.500000000  -0.752205001   0.868692954
    251   2.510000000  -0.742961302   0.979862145
    252   2.520000000  -0.732611692   1.089851287
    253   2.530000000  -0.721168693   1.198515528
    254   2.540000000  -0.708646287   1.305707880
    255   2.550000000  -0.695059939   1.411279196
    256   2.560000000  -0.680426611   1.515078190
    257   2.570000000  -0.664764794   1.616951523
    258   2.580000000  -0.648094517   1.716743945
    259   2.590000000  -0.630437375   1.814298506
    260   2.600000000  -0.611816535   1.909456824
    261   2.610000000  -0.592256757   2.002059428
    262   2.620000000  -0.571784400   2.091946156
    263   2.630000000  -0.550427422   2.178956626
    264   2.640000000  -0.528215389   2.262930769
    265   2.650000000  -0.505179460   2.343709414
    266   2.660000000  -0.481352379   2.421134941
    267   2.670000000  -0.456768457   2.495051973
    268   2.680000000  -0.431463543   2.565308120
    269   2.690000000  -0.405474994   2.631754755
    270   2.700000000  -0.378841628   2.694247822
    271   2.710000000  -0.351603680   2.752648663
    272   2.720000000  -0.323802739   2.806824850
    273   2.730000000  -0.295481685   2.856651025
    274   2.740000000  -0.266684613   2.902009715
    275   2.750000000  -0.237456747   2.942792136
    276   2.760000000  -0.207844358   2.978898952
    277   2.770000000  -0.177894654   3.010240995
    278   2.780000000  -0.147655684   3.036739918
    279   2.790000000  -0.117176225   3.058328794
    280   2.800000000  -0.086505661   3.074952622
    281   2.810000000  -0.055693868   3.086568760
    282   2.820000000  -0.024791081   3.093147263
    283   2.830000000   0.006152226   3.094671114
    284   2.840000000   0.037085476   3.091136367
    285   2.850000000   0.067958119   3.082552173
    286   2.860000000   0.098719759   3.068940712
    287   2.870000000   0.129320289   3.050337013
    288   2.880000000   0.159710015   3.026788675
    289   2.890000000   0.189839777   2.998355498
    290   2.900000000   0.219661078   2.965109016
    291   2.910000000   0.249126187   2.927131952
    292   2.920000000   0.278188257   2.884517599
    293   2.930000000   0.306801423   2.837369140
    294   2.940000000   0.334920898   2.785798906
    295   2.950000000   0.362503062   2.729927601
    296   2.960000000   0.389505539   2.669883496
    297   2.970000000   0.415887271   2.605801594
    298   2.980000000   0.441608579   2.537822800
    299   2.990000000   0.466631222   2.466093085
    300   3.000000000   0.490918438   2.390762667
    301   3.010000000   0.514434984   2.311985216
    302   3.020000000   0.537147172   2.229917086
    303   3.030000000   0.559022884   2.144716596
    304   3.040000000   0.580031594   2.056543347
    305   3.050000000   0.600144375   1.965557601
    306   3.060000000   0.619333905   1.871919712
    307   3.070000000   0.637574462   1.775789620
    308   3.080000000   0.654841920   1.677326408
    309   3.090000000   0.671113739   1.576687924
    310   3.100000000   0.686368949   1.474030473
    311   3.110000000   0.700588134   1.369508566
    312   3.120000000   0.713753414   1.263274738
    313   3.130000000   0.725848423   1.155479433
    314   3.140000000   0.736858292   1.046270939
    315   3.150000000   0.746769619   0.935795388
    316   3.160000000   0.755570456   0.824196803
    317   3.170000000   0.763250285   0.711617199
    318   3.180000000   0.769799997   0.598196720
    319   3.190000000   0.775211878   0.484073830
    320   3.200000000   0.779479589   0.369385518
    321   3.210000000   0.782598156   0.254267552
    322   3.220000000   0.784563957   0.138854746
    323   3.230000000   0.785374715   0.023281241
    324   3.240000000   0.785029492  -0.092319185
    325   3.250000000   0.783528688  -0.207812819
    326   3.260000000   0.780874039  -0.323065702
    327   3.270000000   0.777068624  -0.437943326
    328   3.280000000   0.772116874  -0.552310342
    329   3.290000000   0.766024574  -0.666030283
    330   3.300000000   0.758798885  -0.778965306
    331   3.310000000   0.750448349  -0.890975969
    332   3.320000000   0.740982917  -1.001921030
    333   3.330000000   0.730413958  -1.111657287
    334   3.340000000   0.718754285  -1.220039469
    335   3.350000000   0.706018174  -1.326920157
    336   3.360000000   0.692221385  -1.432149772
    337   3.370000000   0.677381187  -1.535576611
    338   3.380000000   0.661516375  -1.637046938
    339   3.390000000   0.644647289  -1.736405147
    340   3.400000000   0.626795837  -1.833493978
    341   3.410000000   0.607985503  -1.928154802
    342   3.420000000   0.588241366  -2.020227975
    343   3.430000000   0.567590104  -2.109553252
    344   3.440000000   0.546059996  -2.195970270
    345   3.450000000   0.523680926  -2.279319089
    346   3.460000000   0.500484372  -2.359440795
    347   3.470000000   0.476503393  -2.436178159
    348   3.480000000   0.451772608  -2.509376340
    349   3.490000000   0.426328170  -2.578883634
    350   3.500000000   0.400207732  -2.644552264
    351   3.510000000   0.373450399  -2.706239185
    352   3.520000000   0.346096681  -2.763806914
    353   3.530000000   0.318188430  -2.817124370
    354   3.540000000   0.289768776  -2.866067703
    355   3.550000000   0.260882045  -2.910521113
    356   3.560000000   0.231573679  -2.950377643
    357   3.570000000   0.201890142  -2.985539930
    358   3.580000000   0.171878820  -3.015920917
    359   3.590000000   0.141587917  -3.041444493
    360   3.600000000   0.111066340  -3.062046071
    361   3.610000000   0.080363581  -3.077673088
    362   3.620000000   0.049529597  -3.088285414
    363   3.630000000   0.018614682  -3.093855668
    364   3.640000000  -0.012330659  -3.094369435
    365   3.650000000  -0.043255844  -3.089825386
    366   3.660000000  -0.074110343  -3.080235282
    367   3.670000000  -0.104843809  -3.065623885
    368   3.680000000  -0.135406206  -3.046028760
    369   3.690000000  -0.165747936  -3.021499974
    370   3.700000000  -0.195819964  -2.992099710
    371   3.710000000  -0.225573935  -2.957901782
    372   3.720000000  -0.254962288  -2.918991075
    373   3.730000000  -0.283938363  -2.875462913
    374   3.740000000  -0.312456503  -2.827422365
    375   3.750000000  -0.340472147  -2.774983499
    376   3.760000000  -0.367941918  -2.718268594
    377   3.770000000  -0.394823696  -2.657407330
    378   3.780000000  -0.421076695  -2.592535958
    379   3.790000000  -0.446661520  -2.523796460
    380   3.800000000  -0.471540219  -2.451335719
    381   3.810000000  -0.495676332  -2.375304706
    382   3.820000000  -0.519034926  -2.295857686
    383   3.830000000  -0.541582621  -2.213151462
    384   3.840000000  -0.563287619  -2.127344661
    385   3.850000000  -0.584119711  -2.038597065
    386   3.860000000  -0.604050291  -1.947068997
    387   3.870000000  -0.623052357  -1.852920767
    388   3.880000000  -0.641100505  -1.756312177
    389   3.890000000  -0.658170928  -1.657402093
    390   3.900000000  -0.674241400  -1.556348077
    391   3.910000000  -0.689291263  -1.453306092
    392   3.920000000  -0.703301409  -1.348430267
    393   3.930000000  -0.716254263  -1.241872729
    394   3.940000000  -0.728133758  -1.133783494
    395   3.950000000  -0.738925320  -1.024310418
    396   3.960000000  -0.748615839  -0.913599205
    397   3.970000000  -0.757193656  -0.801793469
    398   3.980000000  -0.764648533  -0.689034839
    399   3.990000000  -0.770971642  -0.575463108
    400   4.000000000  -0.776155545  -0.461216425
    401   4.010000000  -0.780194177  -0.346431517
    402   4.020000000  -0.783082833  -0.231243940
    403   4.030000000  -0.784818162  -0.115788347
    404   4.040000000  -0.785398154  -0.000198786
    405   4.050000000  -0.784822137   0.115391005
    406   4.060000000  -0.783090778   0.230847287
    407   4.070000000  -0.780206083   0.346036017
    408   4.080000000  -0.776171399   0.460822541
    409   4.090000000  -0.770991425   0.575071308
    410   4.100000000  -0.764672221   0.688645596
    411   4.110000000  -0.757221221   0.801407261
    412   4.120000000  -0.748647250   0.913216515
    413   4.130000000  -0.738960538   1.023931736
    414   4.140000000  -0.728172741   1.133409319
    415   4.150000000  -0.716296962   1.241503565
    416   4.160000000  -0.703347773   1.348066626
    417   4.170000000  -0.689341234   1.452948493
    418   4.180000000  -0.674294915   1.555997047
    419   4.190000000  -0.658227918   1.657058166
    420   4.200000000  -0.641160896   1.755975892
    421   4.210000000  -0.623116070   1.852592668
    422   4.220000000  -0.604117242   1.946749632
    423   4.230000000  -0.584189810   2.038286984
    424   4.240000000  -0.563360770   2.127044417
    425   4.250000000  -0.541658723   2.212861605
    426   4.260000000  -0.519113872   2.295578763
    427   4.270000000  -0.495758011   2.375037261
    428   4.280000000  -0.471624512   2.451080287
    429   4.290000000  -0.446748305   2.523553566
    430   4.300000000  -0.421165845   2.592306115
    431   4.310000000  -0.394915076   2.657191035
    432   4.320000000  -0.368035391   2.718066326
    433   4.330000000  -0.340567571   2.774795716
    434   4.340000000  -0.312553731   2.827249501
    435   4.350000000  -0.284037243   2.875305374
    436   4.360000000  -0.255062665   2.918849238
    437   4.370000000  -0.225675651   2.957775992
    438   4.380000000  -0.195922856   2.991990279
    439   4.390000000  -0.165851839   3.021407174
    440   4.400000000  -0.135510953   3.045952825
    441   4.410000000  -0.104949231   3.065565010
    442   4.420000000  -0.074216268   3.080193616
    443   4.430000000  -0.043362098   3.089801037
    444   4.440000000  -0.012437070   3.094362467
    445   4.450000000   0.018508289   3.093866097
    446   4.460000000   0.049423394   3.088313215
    447   4.470000000   0.080257743   3.077718188
    448   4.480000000   0.110961039   3.062108354
    449   4.490000000   0.141483325   3.041523799
    450   4.500000000   0.171775105   3.016017046
    451   4.510000000   0.201787471   2.985652639
    452   4.520000000   0.231472216   2.950506650
    453   4.530000000   0.260781953   2.910666102
    454   4.540000000   0.289670212   2.866228322
    455   4.550000000   0.318091549   2.817300235
    456   4.560000000   0.346001633   2.763997613
    457   4.570000000   0.373357330   2.706444280
    458   4.580000000   0.400116785   2.644771292
    459   4.590000000   0.426239481   2.579116113
    460   4.600000000   0.451686308   2.509621768
    461   4.610000000   0.476419610   2.436436022
    462   4.620000000   0.500403228   2.359710566
    463   4.630000000   0.523602537   2.279600229
    464   4.640000000   0.545984473   2.196262236
    465   4.650000000   0.567517552   2.109855496
    466   4.660000000   0.588171886   2.020539945
    467   4.670000000   0.607919189   1.928475947
    468   4.680000000   0.626732778   1.833823748
    469   4.690000000   0.644587569   1.736742995
    470   4.700000000   0.661460071   1.637392319
    471   4.710000000   0.677328373   1.535928988
    472   4.720000000   0.692172127   1.432508613
    473   4.730000000   0.705972534   1.327284936
    474   4.740000000   0.718712320   1.220409669
    475   4.750000000   0.730375721   1.112032397
    476   4.760000000   0.740948453   1.002300546
    477   4.770000000   0.750417701   0.891359397
    478   4.780000000   0.758772087   0.779352155
    479   4.790000000   0.766001661   0.666420071
    480   4.800000000   0.772097871   0.552702592
    481   4.810000000   0.777053554   0.438337567
    482   4.820000000   0.780862919   0.323461467
    483   4.830000000   0.783521531   0.208209644
    484   4.840000000   0.785026308   0.092716608
    485   4.850000000   0.785375506  -0.022883679
    486   4.860000000   0.784568722  -0.138457505
    487   4.870000000   0.782606890  -0.253871094
    488   4.880000000   0.779492282  -0.368990303
    489   4.890000000   0.775228514  -0.483680324
    490   4.900000000   0.769820558  -0.597805393
    491   4.910000000   0.763274746  -0.711228522
    492   4.920000000   0.755598789  -0.823811257
    493   4.930000000   0.746801789  -0.935413457
    494   4.940000000   0.736894261  -1.045893115
    495   4.950000000   0.725888149  -1.155106215
    496   4.960000000   0.713796846  -1.262906632
    497   4.970000000   0.700635219  -1.369146086
    498   4.980000000   0.686419629  -1.473674140
    499   4.990000000   0.671167950  -1.576338266
    500   5.000000000   0.654899592  -1.676983958
    501   5.010000000   0.637635520  -1.775454920
    502   5.020000000   0.619398269  -1.871593307
    503   5.030000000   0.600211959  -1.965240040
    504   5.040000000   0.580102307  -2.056235181
    505   5.050000000   0.559096630  -2.144418375
    506   5.060000000   0.537223848  -2.229629362
    507   5.070000000   0.514514482  -2.311708535
    508   5.080000000   0.491000645  -2.390497571
    509   5.090000000   0.466716020  -2.465840107
    510   5.100000000   0.441695845  -2.537582463
    511   5.110000000   0.415976874  -2.605574408
    512   5.120000000   0.389597346  -2.669669955
    513   5.130000000   0.362596934  -2.729728180
    514   5.140000000   0.335016692  -2.785614058
    515   5.150000000   0.306898990  -2.837199294
    516   5.160000000   0.278287446  -2.884363156
    517   5.170000000   0.249226842  -2.926993282
    518   5.180000000   0.219763039  -2.964986458
    519   5.190000000   0.189942883  -2.998249356
    520   5.200000000   0.159814098  -3.026699214
    521   5.210000000   0.129425183  -3.050264459
    522   5.220000000   0.098825293  -3.068885250
    523   5.230000000   0.068064122  -3.082513946
    524   5.240000000   0.037191775  -3.091115472
    525   5.250000000   0.006258646  -3.094667607
    526   5.260000000  -0.024684712  -3.093161152
    527   5.270000000  -0.055587725  -3.086600010
    528   5.280000000  -0.086399917  -3.075001150
    529   5.290000000  -0.117071052  -3.058394477
    530   5.300000000  -0.147551253  -3.036822588
    531   5.310000000  -0.177791134  -3.010340442
    532   5.320000000  -0.207741915  -2.979014926
    533   5.330000000  -0.237355546  -2.942924348
    534   5.340000000  -0.266584813  -2.902157841
    535   5.350000000  -0.295383445  -2.856814707
    536   5.360000000  -0.323706212  -2.807003699
    537   5.370000000  -0.351509016  -2.752842260
    538   5.380000000  -0.378748972  -2.694455724
    539   5.390000000  -0.405384486  -2.631976496
    540   5.400000000  -0.431375320  -2.565543213
    541   5.410000000  -0.456682649  -2.495299914
    542   5.420000000  -0.481269112  -2.421395212
    543   5.430000000  -0.505098855  -2.343981486
    544   5.440000000  -0.528137562  -2.263214103
    545   5.450000000  -0.550352483  -2.179250678
    546   5.460000000  -0.571712452  -2.092250375
    547   5.470000000  -0.592187900  -2.002373264
    548   5.480000000  -0.611750862  -1.909779725
    549   5.490000000  -0.630374974  -1.814629922
    550   5.500000000  -0.648035471  -1.717083330
    551   5.510000000  -0.664709179  -1.617298334
    552   5.520000000  -0.680374499  -1.515431891
    553   5.530000000  -0.695011396  -1.411639256
    554   5.540000000  -0.708601375  -1.306073774
    555   5.550000000  -0.721127466  -1.198886740
    556   5.560000000  -0.732574202  -1.090227309
    557   5.570000000  -0.742927594  -0.980242474
    558   5.580000000  -0.752175116  -0.869077096
    559   5.590000000  -0.760305677  -0.756873979
    560   5.600000000  -0.767309606  -0.643773998
    561   5.610000000  -0.773178631  -0.529916267
    562   5.620000000  -0.777905864  -0.415438339
    563   5.630000000  -0.781485785  -0.300476440
    564   5.640000000  -0.783914230  -0.185165733
    565   5.650000000  -0.785188385  -0.069640593
    566   5.660000000  -0.785306774   0.045965092
    567   5.670000000  -0.784269260   0.161517621
    568   5.680000000  -0.782077044   0.276883169
    569   5.690000000  -0.778732667   0.391927485
    570   5.700000000  -0.774240015   0.506515592
    571   5.710000000  -0.768604329   0.620511503
    572   5.720000000  -0.761832217   0.733777955
    573   5.730000000  -0.753931664   0.846176174
    574   5.740000000  -0.744912056   0.957565660
    575   5.750000000  -0.734784188   1.067804014
    576   5.760000000  -0.723560294   1.176746807
    577   5.770000000  -0.711254059   1.284247484
    578   5.780000000  -0.697880647   1.390157333
    579   5.790000000  -0.683456718   1.494325495
    580   5.800000000  -0.668000452   1.596599032
    581   5.810000000  -0.651531569   1.696823067
    582   5.820000000  -0.634071345   1.794840971
    583   5.830000000  -0.615642631   1.890494627
    584   5.840000000  -0.596269864   1.983624752
    585   5.850000000  -0.575979081   2.074071286
    586   5.860000000  -0.554797919   2.161673853
    587   5.870000000  -0.532755619   2.246272274
    588   5.880000000  -0.509883020   2.327707147
    589   5.890000000  -0.486212549   2.405820486
    590   5.900000000  -0.461778202   2.480456403
    591   5.910000000  -0.436615523   2.551461846
    592   5.920000000  -0.410761567   2.618687365
    593   5.930000000  -0.384254861   2.681987918
    594   5.940000000  -0.357135359   2.741223694
