# Giai phuong trinh vi phan
######################################################################
#      i             x         theta         omega
    361   3.610000000  -0.232411193  -1.897182278
    362   3.620000000  -0.251187876  -1.857642667
    363   3.630000000  -0.269553922  -1.815066225
    364   3.640000000  -0.287479308  -1.769522554
    365   3.650000000  -0.304934729  -1.721086108
    366   3.660000000  -0.321891650  -1.669836069
    367   3.670000000  -0.338322350  -1.615856221
    368   3.680000000  -0.354199968  -1.559234808
    369   3.690000000  -0.369498548  -1.500064393
    370   3.700000000  -0.384193081  -1.438441707
    371   3.710000000  -0.398259543  -1.374467490
    372   3.720000000  -0.411674940  -1.308246325
    373   3.730000000  -0.424417340  -1.239886468
    374   3.740000000  -0.436465912  -1.169499673
    375   3.750000000  -0.447800959  -1.097201007
    376   3.760000000  -0.458403952  -1.023108662
    377   3.770000000  -0.468257556  -0.947343762
    378   3.780000000  -0.477345664  -0.870030166
    379   3.790000000  -0.485653418  -0.791294265
    380   3.800000000  -0.493167237  -0.711264774
    381   3.810000000  -0.499874837  -0.630072523
    382   3.820000000  -0.505765253  -0.547850245
    383   3.830000000  -0.510828856  -0.464732353
    384   3.840000000  -0.515057368  -0.380854727
    385   3.850000000  -0.518443875  -0.296354489
    386   3.860000000  -0.520982842  -0.211369777
    387   3.870000000  -0.522670119  -0.126039523
    388   3.880000000  -0.523502946  -0.040503222
    389   3.890000000  -0.523479962   0.045099292
    390   3.900000000  -0.522601206   0.130628079
    391   3.910000000  -0.520868113   0.215943319
    392   3.920000000  -0.518283516   0.300905539
    393   3.930000000  -0.514851642   0.385375846
    394   3.940000000  -0.510578100   0.469216149
    395   3.950000000  -0.505469876   0.552289388
    396   3.960000000  -0.499535322   0.634459757
    397   3.970000000  -0.492784139   0.715592926
    398   3.980000000  -0.485227363   0.795556259
    399   3.990000000  -0.476877349   0.874219036
    400   4.000000000  -0.467747747   0.951452659
    401   4.010000000  -0.457853481   1.027130869
    402   4.020000000  -0.447210727   1.101129949
    403   4.030000000  -0.435836884   1.173328927
    404   4.040000000  -0.423750543   1.243609774
    405   4.050000000  -0.410971466   1.311857596
    406   4.060000000  -0.397520541   1.377960823
    407   4.070000000  -0.383419759   1.441811390
    408   4.080000000  -0.368692171   1.503304918
    409   4.090000000  -0.353361854   1.562340877
    410   4.100000000  -0.337453868   1.618822757
    411   4.110000000  -0.320994221   1.672658222
    412   4.120000000  -0.304009820   1.723759264
    413   4.130000000  -0.286528430   1.772042344
    414   4.140000000  -0.268578631   1.817428529
    415   4.150000000  -0.250189765   1.859843624
    416   4.160000000  -0.231391894   1.899218288
    417   4.170000000  -0.212215750   1.935488154
    418   4.180000000  -0.192692680   1.968593928
    419   4.190000000  -0.172854600   1.998481490
    420   4.200000000  -0.152733942   2.025101980
    421   4.210000000  -0.132363597   2.048411879
    422   4.220000000  -0.111776868   2.068373081
    423   4.230000000  -0.091007408   2.084952954
    424   4.240000000  -0.070089172   2.098124394
    425   4.250000000  -0.049056355   2.107865868
    426   4.260000000  -0.027943342   2.114161451
    427   4.270000000  -0.006784648   2.117000851
    428   4.280000000   0.014385137   2.116379426
    429   4.290000000   0.035531406   2.112298193
    430   4.300000000   0.056619589   2.104763822
    431   4.310000000   0.077615212   2.093788632
    432   4.320000000   0.098483950   2.079390564
    433   4.330000000   0.119191690   2.061593156
    434   4.340000000   0.139704578   2.040425502
    435   4.350000000   0.159989080   2.015922207
    436   4.360000000   0.180012035   1.988123329
    437   4.370000000   0.199740711   1.957074312
    438   4.380000000   0.219142855   1.922825915
    439   4.390000000   0.238186750   1.885434126
    440   4.400000000   0.256841262   1.844960072
    441   4.410000000   0.275075896   1.801469919
    442   4.420000000   0.292860843   1.755034765
    443   4.430000000   0.310167027   1.705730520
    444   4.440000000   0.326966157   1.653637785
    445   4.450000000   0.343230770   1.598841721
    446   4.460000000   0.358934278   1.541431908
    447   4.470000000   0.374051007   1.481502196
    448   4.480000000   0.388556247   1.419150559
    449   4.490000000   0.402426284   1.354478927
    450   4.500000000   0.415638444   1.287593023
    451   4.510000000   0.428171127   1.218602192
    452   4.520000000   0.440003846   1.147619218
    453   4.530000000   0.451117257   1.074760142
    454   4.540000000   0.461493192   1.000144072
    455   4.550000000   0.471114688   0.923892990
    456   4.560000000   0.479966016   0.846131549
    457   4.570000000   0.488032707   0.766986872
    458   4.580000000   0.495301574   0.686588341
    459   4.590000000   0.501760732   0.605067392
    460   4.600000000   0.507399624   0.522557293
    461   4.610000000   0.512209030   0.439192928
    462   4.620000000   0.516181089   0.355110581
    463   4.630000000   0.519309306   0.270447708
    464   4.640000000   0.521588569   0.185342713
    465   4.650000000   0.523015150   0.099934723
    466   4.660000000   0.523586719   0.014363363
    467   4.670000000   0.523302339  -0.071231478
    468   4.680000000   0.522162477  -0.156709872
    469   4.690000000   0.520168996  -0.241932080
    470   4.700000000   0.517325154  -0.326758783
    471   4.710000000   0.513635601  -0.411051308
    472   4.720000000   0.509106368  -0.494671855
    473   4.730000000   0.503744860  -0.577483725
    474   4.740000000   0.497559841  -0.659351537
    475   4.750000000   0.490561423  -0.740141456
    476   4.760000000   0.482761046  -0.819721409
    477   4.770000000   0.474171462  -0.897961301
    478   4.780000000   0.464806713  -0.974733225
    479   4.790000000   0.454682110  -1.049911678
    480   4.800000000   0.443814202  -1.123373759
    481   4.810000000   0.432220757  -1.194999375
    482   4.820000000   0.419920727  -1.264671433
    483   4.830000000   0.406934221  -1.332276034
    484   4.840000000   0.393282467  -1.397702662
    485   4.850000000   0.378987785  -1.460844357
    486   4.860000000   0.364073542  -1.521597897
    487   4.870000000   0.348564120  -1.579863963
    488   4.880000000   0.332484873  -1.635547304
    489   4.890000000   0.315862087  -1.688556890
    490   4.900000000   0.298722938  -1.738806061
    491   4.910000000   0.281095442  -1.786212672
    492   4.920000000   0.263008419  -1.830699223
    493   4.930000000   0.244491435  -1.872192988
    494   4.940000000   0.225574763  -1.910626136
    495   4.950000000   0.206289325  -1.945935835
    496   4.960000000   0.186666651  -1.978064363
    497   4.970000000   0.166738819  -2.006959197
    498   4.980000000   0.146538405  -2.032573099
    499   4.990000000   0.126098434  -2.054864197
    500   5.000000000   0.105452320  -2.073796051
    501   5.010000000   0.084633815  -2.089337709
    502   5.020000000   0.063676953  -2.101463767
    503   5.030000000   0.042615993  -2.110154399
    504   5.040000000   0.021485365  -2.115395399
    505   5.050000000   0.000319614  -2.117178199
    506   5.060000000  -0.020846660  -2.115499884
    507   5.070000000  -0.041978854  -2.110363198
    508   5.080000000  -0.063042423  -2.101776539
    509   5.090000000  -0.084002930  -2.089753943
    510   5.100000000  -0.104826112  -2.074315066
    511   5.110000000  -0.125477927  -2.055485145
    512   5.120000000  -0.145924613  -2.033294965
    513   5.130000000  -0.166132745  -2.007780800
    514   5.140000000  -0.186069286  -1.978984361
    515   5.150000000  -0.205701646  -1.946952723
    516   5.160000000  -0.224997730  -1.911738252
    517   5.170000000  -0.243925992  -1.873398515
    518   5.180000000  -0.262455490  -1.831996188
    519   5.190000000  -0.280555932  -1.787598956
    520   5.200000000  -0.298197727  -1.740279398
    521   5.210000000  -0.315352035  -1.690114871
    522   5.220000000  -0.331990813  -1.637187383
    523   5.230000000  -0.348086860  -1.581583458
    524   5.240000000  -0.363613863  -1.523393996
    525   5.250000000  -0.378546437  -1.462714125
    526   5.260000000  -0.392860173  -1.399643042
    527   5.270000000  -0.406531670  -1.334283855
    528   5.280000000  -0.419538579  -1.266743411
    529   5.290000000  -0.431859635  -1.197132124
    530   5.300000000  -0.443474697  -1.125563793
    531   5.310000000  -0.454364776  -1.052155415
    532   5.320000000  -0.464512071  -0.977026998
    533   5.330000000  -0.473899991  -0.900301359
    534   5.340000000  -0.482513191  -0.822103929
    535   5.350000000  -0.490337589  -0.742562541
    536   5.360000000  -0.497360395  -0.661807230
    537   5.370000000  -0.503570127  -0.579970011
    538   5.380000000  -0.508956634  -0.497184670
    539   5.390000000  -0.513511111  -0.413586543
    540   5.400000000  -0.517226111  -0.329312294
    541   5.410000000  -0.520095562  -0.244499694
    542   5.420000000  -0.522114772  -0.159287390
    543   5.430000000  -0.523280442  -0.073814687
    544   5.440000000  -0.523590664   0.011778686
    545   5.450000000  -0.523044932   0.097352804
    546   5.460000000  -0.521644138   0.182767772
    547   5.470000000  -0.519390573   0.267883955
    548   5.480000000  -0.516287919   0.352562207
    549   5.490000000  -0.512341250   0.436664099
    550   5.500000000  -0.507557017   0.520052143
    551   5.510000000  -0.501943041   0.602590017
    552   5.520000000  -0.495508501   0.684142790
    553   5.530000000  -0.488263914   0.764577143
    554   5.540000000  -0.480221125   0.843761582
    555   5.550000000  -0.471393281   0.921566659
    556   5.560000000  -0.461794814   0.997865180
    557   5.570000000  -0.451441416   1.072532414
