# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    362   3.620000000  -0.332679521  -2.507579143
    363   3.630000000  -0.357755312  -2.453186041
    364   3.640000000  -0.382287173  -2.394693048
    365   3.650000000  -0.406234103  -2.332189095
    366   3.660000000  -0.429555994  -2.265769819
    367   3.670000000  -0.452213692  -2.195537414
    368   3.680000000  -0.474169066  -2.121600475
    369   3.690000000  -0.495385071  -2.044073833
    370   3.700000000  -0.515825809  -1.963078374
    371   3.710000000  -0.535456593  -1.878740854
    372   3.720000000  -0.554244002  -1.791193701
    373   3.730000000  -0.572155939  -1.700574807
    374   3.740000000  -0.589161687  -1.607027311
    375   3.750000000  -0.605231960  -1.510699375
    376   3.760000000  -0.620338954  -1.411743950
    377   3.770000000  -0.634456393  -1.310318531
    378   3.780000000  -0.647559578  -1.206584910
    379   3.790000000  -0.659625428  -1.100708919
    380   3.800000000  -0.670632517  -0.992860162
    381   3.810000000  -0.680561118  -0.883211745
    382   3.820000000  -0.689393236  -0.771940003
    383   3.830000000  -0.697112636  -0.659224209
    384   3.840000000  -0.703704878  -0.545246293
    385   3.850000000  -0.709157341  -0.430190545
    386   3.860000000  -0.713459246  -0.314243320
    387   3.870000000  -0.716601679  -0.197592733
    388   3.880000000  -0.718577607  -0.080428358
    389   3.890000000  -0.719381890   0.037059080
    390   3.900000000  -0.719011300   0.154678019
    391   3.910000000  -0.717464519   0.272236367
    392   3.920000000  -0.714742156   0.389541816
    393   3.930000000  -0.710846738   0.506402158
    394   3.940000000  -0.705782716   0.622625600
    395   3.950000000  -0.699556460   0.738021074
    396   3.960000000  -0.692176249   0.852398555
    397   3.970000000  -0.683652264   0.965569372
    398   3.980000000  -0.673996570   1.077346517
    399   3.990000000  -0.663223105   1.187544956
    400   4.000000000  -0.651347655   1.295981934
    401   4.010000000  -0.638387836   1.402477275
    402   4.020000000  -0.624363063   1.506853687
    403   4.030000000  -0.609294526   1.608937047
    404   4.040000000  -0.593205156   1.708556702
    405   4.050000000  -0.576119589   1.805545745
    406   4.060000000  -0.558064131   1.899741298
    407   4.070000000  -0.539066718   1.990984784
    408   4.080000000  -0.519156871   2.079122192
    409   4.090000000  -0.498365649   2.164004340
    410   4.100000000  -0.476725605   2.245487124
    411   4.110000000  -0.454270734   2.323431760
    412   4.120000000  -0.431036416   2.397705025
    413   4.130000000  -0.407059366   2.468179479
    414   4.140000000  -0.382377571   2.534733686
    415   4.150000000  -0.357030234   2.597252419
    416   4.160000000  -0.331057710   2.655626862
    417   4.170000000  -0.304501442   2.709754798
    418   4.180000000  -0.277403894   2.759540783
    419   4.190000000  -0.249808486   2.804896320
    420   4.200000000  -0.221759523   2.845740007
    421   4.210000000  -0.193302123   2.881997689
    422   4.220000000  -0.164482146   2.913602586
    423   4.230000000  -0.135346120   2.940495417
    424   4.240000000  -0.105941166   2.962624508
    425   4.250000000  -0.076314921   2.979945888
    426   4.260000000  -0.046515462   2.992423378
    427   4.270000000  -0.016591228   3.000028656
    428   4.280000000   0.013409059   3.002741322
    429   4.290000000   0.043436472   3.000548941
    430   4.300000000   0.073441961   2.993447077
    431   4.310000000   0.103376432   2.981439317
    432   4.320000000   0.133190825   2.964537270
    433   4.330000000   0.162836198   2.942760570
    434   4.340000000   0.192263804   2.916136852
    435   4.350000000   0.221425172   2.884701720
    436   4.360000000   0.250272189   2.848498704
    437   4.370000000   0.278757176   2.807579201
    438   4.380000000   0.306832968   2.762002403
    439   4.390000000   0.334452992   2.711835213
    440   4.400000000   0.361571345   2.657152148
    441   4.410000000   0.388142866   2.598035234
    442   4.420000000   0.414123218   2.534573875
    443   4.430000000   0.439468957   2.466864729
    444   4.440000000   0.464137604   2.395011554
    445   4.450000000   0.488087720   2.319125056
    446   4.460000000   0.511278971   2.239322714
    447   4.470000000   0.533672198   2.155728602
    448   4.480000000   0.555229484   2.068473198
    449   4.490000000   0.575914216   1.977693177
    450   4.500000000   0.595691147   1.883531203
    451   4.510000000   0.614526459   1.786135700
    452   4.520000000   0.632387816   1.685660624
    453   4.530000000   0.649244423   1.582265216
    454   4.540000000   0.665067075   1.476113753
    455   4.550000000   0.679828212   1.367375286
    456   4.560000000   0.693501965   1.256223374
    457   4.570000000   0.706064199   1.142835802
    458   4.580000000   0.717492557   1.027394306
    459   4.590000000   0.727766500   0.910084273
    460   4.600000000   0.736867343   0.791094450
    461   4.610000000   0.744778287   0.670616639
    462   4.620000000   0.751484454   0.548845389
    463   4.630000000   0.756972908   0.425977681
    464   4.640000000   0.761232684   0.302212611
    465   4.650000000   0.764254811   0.177751067
    466   4.660000000   0.766032321   0.052795405
    467   4.670000000   0.766560275  -0.072450879
    468   4.680000000   0.765835766  -0.197783484
    469   4.690000000   0.763857932  -0.322997632
    470   4.700000000   0.760627955  -0.447888404
    471   4.710000000   0.756149071  -0.572251074
    472   4.720000000   0.750426560  -0.695881448
    473   4.730000000   0.743467746  -0.818576190
    474   4.740000000   0.735281984  -0.940133167
    475   4.750000000   0.725880652  -1.060351771
    476   4.760000000   0.715277135  -1.179033258
    477   4.770000000   0.703486802  -1.295981069
    478   4.780000000   0.690526991  -1.411001162
    479   4.790000000   0.676416980  -1.523902325
    480   4.800000000   0.661177957  -1.634496501
    481   4.810000000   0.644832992  -1.742599097
    482   4.820000000   0.627407001  -1.848029291
    483   4.830000000   0.608926708  -1.950610335
    484   4.840000000   0.589420604  -2.050169852
    485   4.850000000   0.568918906  -2.146540121
    486   4.860000000   0.547453505  -2.239558362
    487   4.870000000   0.525057921  -2.329067010
    488   4.880000000   0.501767251  -2.414913980
    489   4.890000000   0.477618111  -2.496952926
    490   4.900000000   0.452648582  -2.575043487
    491   4.910000000   0.426898147  -2.649051530
    492   4.920000000   0.400407632  -2.718849377
    493   4.930000000   0.373219138  -2.784316025
    494   4.940000000   0.345375978  -2.845337354
    495   4.950000000   0.316922604  -2.901806326
    496   4.960000000   0.287904541  -2.953623172
    497   4.970000000   0.258368309  -3.000695564
    498   4.980000000   0.228361354  -3.042938783
    499   4.990000000   0.197931966  -3.080275864
    500   5.000000000   0.167129207  -3.112637741
    501   5.010000000   0.136002830  -3.139963366
    502   5.020000000   0.104603196  -3.162199829
    503   5.030000000   0.072981198  -3.179302451
    504   5.040000000   0.041188173  -3.191234877
    505   5.050000000   0.009275824  -3.197969143
    506   5.060000000  -0.022703867  -3.199485741
    507   5.070000000  -0.054698724  -3.195773658
    508   5.080000000  -0.086656461  -3.186830417
    509   5.090000000  -0.118524765  -3.172662086
    510   5.100000000  -0.150251386  -3.153283286
    511   5.110000000  -0.181784219  -3.128717185
    512   5.120000000  -0.213071391  -3.098995465
    513   5.130000000  -0.244061345  -3.064158293
    514   5.140000000  -0.274702928  -3.024254263
    515   5.150000000  -0.304945471  -2.979340334
    516   5.160000000  -0.334738874  -2.929481749
    517   5.170000000  -0.364033692  -2.874751943
    518   5.180000000  -0.392781211  -2.815232435
    519   5.190000000  -0.420933536  -2.751012707
    520   5.200000000  -0.448443663  -2.682190074
    521   5.210000000  -0.475265563  -2.608869535
    522   5.220000000  -0.501354259  -2.531163615
    523   5.230000000  -0.526665895  -2.449192194
    524   5.240000000  -0.551157817  -2.363082320
    525   5.250000000  -0.574788640  -2.272968017
    526   5.260000000  -0.597518320  -2.178990074
    527   5.270000000  -0.619308221  -2.081295829
    528   5.280000000  -0.640121179  -1.980038935
    529   5.290000000  -0.659921569  -1.875379122
    530   5.300000000  -0.678675360  -1.767481946
    531   5.310000000  -0.696350179  -1.656518524
    532   5.320000000  -0.712915365  -1.542665270
    533   5.330000000  -0.728342017  -1.426103608
    534   5.340000000  -0.742603053  -1.307019688
    535   5.350000000  -0.755673250  -1.185604089
    536   5.360000000  -0.767529291  -1.062051513
    537   5.370000000  -0.778149806  -0.936560473
    538   5.380000000  -0.787515411  -0.809332980
