# Giai phuong trinh vi phan
######################################################################
#     i             x         theta         omega
    274   2.740000000  -0.054268077   2.081704725
    275   2.750000000  -0.033406687   2.088873074
    276   2.760000000  -0.012490652   2.092626879
    277   2.770000000   0.008445828   2.092958360
    278   2.780000000   0.029368507   2.089866827
    279   2.790000000   0.050243170   2.083358686
    280   2.800000000   0.071035701   2.073447401
    281   2.810000000   0.091712152   2.060153429
    282   2.820000000   0.112238816   2.043504114
    283   2.830000000   0.132582295   2.023533547
    284   2.840000000   0.152709562   2.000282397
    285   2.850000000   0.172588030   1.973797708
    286   2.860000000   0.192185616   1.944132674
    287   2.870000000   0.211470796   1.911346383
    288   2.880000000   0.230412668   1.875503544
    289   2.890000000   0.248981004   1.836674194
    290   2.900000000   0.267146300   1.794933392
    291   2.910000000   0.284879830   1.750360899
    292   2.920000000   0.302153687   1.703040853
    293   2.930000000   0.318940827   1.653061439
    294   2.940000000   0.335215105   1.600514554
    295   2.950000000   0.350951316   1.545495485
    296   2.960000000   0.366125221   1.488102582
    297   2.970000000   0.380713582   1.428436943
    298   2.980000000   0.394694182   1.366602114
    299   2.990000000   0.408045853   1.302703795
    300   3.000000000   0.420748494   1.236849573
    301   3.010000000   0.432783087   1.169148654
    302   3.020000000   0.444131715   1.099711636
    303   3.030000000   0.454777573   1.028650283
    304   3.040000000   0.464704978   0.956077327
    305   3.050000000   0.473899382   0.882106294
    306   3.060000000   0.482347371   0.806851341
    307   3.070000000   0.490036679   0.730427124
    308   3.080000000   0.496956187   0.652948679
    309   3.090000000   0.503095929   0.574531324
    310   3.100000000   0.508447092   0.495290575
    311   3.110000000   0.513002022   0.415342091
    312   3.120000000   0.516754218   0.334801614
    313   3.130000000   0.519698339   0.253784941
    314   3.140000000   0.521830203   0.172407899
    315   3.150000000   0.523146785   0.090786324
    316   3.160000000   0.523646218   0.009036057
    317   3.170000000   0.523327795  -0.072727057
    318   3.180000000   0.522191966  -0.154387177
    319   3.190000000   0.520240341  -0.235828459
    320   3.200000000   0.517475686  -0.316935064
    321   3.210000000   0.513901928  -0.397591163
    322   3.220000000   0.509524151  -0.477680951
    323   3.230000000   0.504348596  -0.557088666
    324   3.240000000   0.498382663  -0.635698629
    325   3.250000000   0.491634907  -0.713395285
    326   3.260000000   0.484115039  -0.790063264
    327   3.270000000   0.475833921  -0.865587457
    328   3.280000000   0.466803566  -0.939853115
    329   3.290000000   0.457037132  -1.012745954
    330   3.300000000   0.446548917  -1.084152295
    331   3.310000000   0.435354352  -1.153959212
    332   3.320000000   0.423469994  -1.222054707
    333   3.330000000   0.410913515  -1.288327905
    334   3.340000000   0.397703688  -1.352669265
    335   3.350000000   0.383860376  -1.414970820
    336   3.360000000   0.369404512  -1.475126423
    337   3.370000000   0.354358081  -1.533032023
    338   3.380000000   0.338744097  -1.588585951
    339   3.390000000   0.322586580  -1.641689217
    340   3.400000000   0.305910524  -1.692245825
    341   3.410000000   0.288741866  -1.740163093
    342   3.420000000   0.271107455  -1.785351981
