# Nghiem giai tich cho phuong trinh truyen nhiet 1D
#
#    j (t)    i (x)               t               x               u           |err|
         1       36    6.001000e+00    3.636364e-01    1.000000e+02    2.842171e-14
         1       37    6.001000e+00    3.737374e-01    1.000000e+02    5.684342e-14
         1       38    6.001000e+00    3.838384e-01    1.000000e+02    4.263256e-14
         1       39    6.001000e+00    3.939394e-01    1.000000e+02    1.421085e-14
         1       40    6.001000e+00    4.040404e-01    1.000000e+02    5.684342e-14
         1       41    6.001000e+00    4.141414e-01    1.000000e+02    0.000000e+00
         1       42    6.001000e+00    4.242424e-01    1.000000e+02    1.421085e-14
         1       43    6.001000e+00    4.343434e-01    1.000000e+02    5.684342e-14
         1       44    6.001000e+00    4.444444e-01    1.000000e+02    2.842171e-14
         1       45    6.001000e+00    4.545455e-01    1.000000e+02    2.842171e-14
         1       46    6.001000e+00    4.646465e-01    1.000000e+02    4.263256e-14
         1       47    6.001000e+00    4.747475e-01    1.000000e+02    1.421085e-14
         1       48    6.001000e+00    4.848485e-01    1.000000e+02    7.105427e-14
         1       49    6.001000e+00    4.949495e-01    1.000000e+02    1.421085e-14
         1       50    6.001000e+00    5.050505e-01    1.000000e+02    1.421085e-14
         1       51    6.001000e+00    5.151515e-01    1.000000e+02    2.842171e-14
         1       52    6.001000e+00    5.252525e-01    1.000000e+02    4.263256e-14
         1       53    6.001000e+00    5.353535e-01    1.000000e+02    1.421085e-14
         1       54    6.001000e+00    5.454545e-01    1.000000e+02    1.421085e-14
         1       55    6.001000e+00    5.555556e-01    1.000000e+02    5.684342e-14
         1       56    6.001000e+00    5.656566e-01    1.000000e+02    1.421085e-14
         1       57    6.001000e+00    5.757576e-01    1.000000e+02    1.421085e-14
         1       58    6.001000e+00    5.858586e-01    1.000000e+02    5.684342e-14
         1       59    6.001000e+00    5.959596e-01    1.000000e+02    4.263256e-14
         1       60    6.001000e+00    6.060606e-01    1.000000e+02    5.684342e-14
         1       61    6.001000e+00    6.161616e-01    1.000000e+02    2.842171e-14
         1       62    6.001000e+00    6.262626e-01    1.000000e+02    1.421085e-14
         1       63    6.001000e+00    6.363636e-01    1.000000e+02    1.421085e-14
         1       64    6.001000e+00    6.464646e-01    1.000000e+02    0.000000e+00
         1       65    6.001000e+00    6.565657e-01    1.000000e+02    5.684342e-14
         1       66    6.001000e+00    6.666667e-01    1.000000e+02    7.105427e-14
         1       67    6.001000e+00    6.767677e-01    1.000000e+02    1.421085e-14
         1       68    6.001000e+00    6.868687e-01    1.000000e+02    5.684342e-14
         1       69    6.001000e+00    6.969697e-01    1.000000e+02    1.421085e-14
         1       70    6.001000e+00    7.070707e-01    1.000000e+02    5.684342e-14
         1       71    6.001000e+00    7.171717e-01    1.000000e+02    4.263256e-14
         1       72    6.001000e+00    7.272727e-01    1.000000e+02    2.842171e-14
         1       73    6.001000e+00    7.373737e-01    1.000000e+02    0.000000e+00
         1       74    6.001000e+00    7.474747e-01    1.000000e+02    5.115908e-13
         1       75    6.001000e+00    7.575757e-01    1.000000e+02    5.215384e-12
         1       76    6.001000e+00    7.676768e-01    1.000000e+02    5.447021e-11
         1       77    6.001000e+00    7.777778e-01    1.000000e+02    5.197052e-10
         1       78    6.001000e+00    7.878788e-01    1.000000e+02    4.504969e-09
         1       79    6.001000e+00    7.979798e-01    1.000000e+02    9.964539e-06
         1       80    6.001000e+00    8.080808e-01    1.000000e+02    3.974646e-05
         1       81    6.001000e+00    8.181818e-01    1.000000e+02    1.183532e-04
         1       82    6.001000e+00    8.282828e-01    9.999999e+01    3.402800e-04
         1       83    6.001000e+00    8.383838e-01    9.999995e+01    9.678534e-04
         1       84    6.001000e+00    8.484848e-01    9.999975e+01    2.595638e-03
         1       85    6.001000e+00    8.585859e-01    9.999887e+01    6.631482e-03
         1       86    6.001000e+00    8.686869e-01    9.999544e+01    1.597421e-02
         1       87    6.001000e+00    8.787879e-01    9.998326e+01    3.582687e-02
         1       88    6.001000e+00    8.888889e-01    9.994395e+01    7.392964e-02
         1       89    6.001000e+00    8.989899e-01    9.982896e+01    1.383244e-01
         1       90    6.001000e+00    9.090909e-01    9.952388e+01    2.304388e-01
         1       91    6.001000e+00    9.191919e-01    9.878968e+01    3.327792e-01
         1       92    6.001000e+00    9.292929e-01    9.718709e+01    3.973895e-01
         1       93    6.001000e+00    9.393939e-01    9.401424e+01    3.504246e-01
         1       94    6.001000e+00    9.494949e-01    8.831659e+01    1.304427e-01
         1       95    6.001000e+00    9.595960e-01    7.903611e+01    2.436247e-01
         1       96    6.001000e+00    9.696970e-01    6.532537e+01    6.228097e-01
         1       97    6.001000e+00    9.797980e-01    4.695239e+01    7.738586e-01
         1       98    6.001000e+00    9.898990e-01    2.462053e+01    5.392393e-01
         1       99    6.001000e+00    1.000000e+00    0.000000e+00    0.000000e+00

         2        0    1.200200e+01    0.000000e+00    0.000000e+00    0.000000e+00
         2        1    1.200200e+01    1.010101e-02    1.755125e+01    1.968094e-01
         2        2    1.200200e+01    2.020202e-02    3.426349e+01    3.380587e-01
         2        3    1.200200e+01    3.030303e-02    4.941612e+01    3.885130e-01
         2        4    1.200200e+01    4.040404e-02    6.249792e+01    3.441583e-01
         2        5    1.200200e+01    5.050505e-02    7.325202e+01    2.296921e-01
