# Giai bai toan bay tu bang RK4
#
#                    t                    x                    y                    z                  v_x                  v_y                  v_z
        7.39950670e-01       2.58863226e-01       2.48348207e-01       1.11199648e-01       3.30330772e-01       2.39114394e-01       1.50352545e-01
        7.49950003e-01       2.62178568e-01       2.50722211e-01       1.12702958e-01       3.32776526e-01       2.35713653e-01       1.50329163e-01
        7.59949337e-01       2.65518203e-01       2.53062076e-01       1.14206025e-01       3.35189465e-01       2.32286035e-01       1.50303760e-01
        7.69948670e-01       2.68881801e-01       2.55367534e-01       1.15708826e-01       3.37569308e-01       2.28831825e-01       1.50276274e-01
        7.79948003e-01       2.72269028e-01       2.57638320e-01       1.17211343e-01       3.39915776e-01       2.25351309e-01       1.50246639e-01
        7.89947337e-01       2.75679551e-01       2.59874173e-01       1.18713551e-01       3.42228595e-01       2.21844777e-01       1.50214792e-01
        7.99946670e-01       2.79113031e-01       2.62074834e-01       1.20215430e-01       3.44507488e-01       2.18312523e-01       1.50180669e-01
        8.09946004e-01       2.82569127e-01       2.64240048e-01       1.21716957e-01       3.46752183e-01       2.14754842e-01       1.50144202e-01
        8.19945337e-01       2.86047497e-01       2.66369561e-01       1.23218106e-01       3.48962410e-01       2.11172033e-01       1.50105326e-01
        8.29944670e-01       2.89547794e-01       2.68463124e-01       1.24718855e-01       3.51137899e-01       2.07564397e-01       1.50063976e-01
        8.39944004e-01       2.93069670e-01       2.70520490e-01       1.26219177e-01       3.53278384e-01       2.03932240e-01       1.50020082e-01
        8.49943337e-01       2.96612773e-01       2.72541416e-01       1.27719048e-01       3.55383599e-01       2.00275867e-01       1.49973579e-01
        8.59942670e-01       3.00176750e-01       2.74525661e-01       1.29218440e-01       3.57453282e-01       1.96595590e-01       1.49924398e-01
        8.69942004e-01       3.03761243e-01       2.76472987e-01       1.30717327e-01       3.59487171e-01       1.92891721e-01       1.49872471e-01
        8.79941337e-01       3.07365894e-01       2.78383161e-01       1.32215680e-01       3.61485008e-01       1.89164577e-01       1.49817729e-01
        8.89940671e-01       3.10990340e-01       2.80255950e-01       1.33713472e-01       3.63446535e-01       1.85414477e-01       1.49760102e-01
        8.99940004e-01       3.14634218e-01       2.82091127e-01       1.35210673e-01       3.65371497e-01       1.81641741e-01       1.49699522e-01
        9.09939337e-01       3.18297160e-01       2.83888468e-01       1.36707253e-01       3.67259643e-01       1.77846696e-01       1.49635917e-01
        9.19938671e-01       3.21978798e-01       2.85647751e-01       1.38203181e-01       3.69110720e-01       1.74029668e-01       1.49569217e-01
        9.29938004e-01       3.25678758e-01       2.87368757e-01       1.39698427e-01       3.70924481e-01       1.70190989e-01       1.49499353e-01
        9.39937338e-01       3.29396668e-01       2.89051273e-01       1.41192958e-01       3.72700679e-01       1.66330992e-01       1.49426251e-01
        9.49936671e-01       3.33132149e-01       2.90695086e-01       1.42686742e-01       3.74439071e-01       1.62450014e-01       1.49349842e-01
        9.59936004e-01       3.36884823e-01       2.92299988e-01       1.44179745e-01       3.76139414e-01       1.58548393e-01       1.49270052e-01
        9.69935338e-01       3.40654308e-01       2.93865774e-01       1.45671932e-01       3.77801469e-01       1.54626473e-01       1.49186810e-01
        9.79934671e-01       3.44440220e-01       2.95392244e-01       1.47163270e-01       3.79424998e-01       1.50684598e-01       1.49100044e-01
        9.89934004e-01       3.48242173e-01       2.96879200e-01       1.48653723e-01       3.81009767e-01       1.46723117e-01       1.49009680e-01
        9.99933338e-01       3.52059778e-01       2.98326447e-01       1.50143253e-01       3.82555542e-01       1.42742382e-01       1.48915645e-01
        1.00993267e+00       3.55892643e-01       2.99733794e-01       1.51631824e-01       3.84062095e-01       1.38742746e-01       1.48817867e-01
        1.01993200e+00       3.59740376e-01       3.01101055e-01       1.53119399e-01       3.85529197e-01       1.34724567e-01       1.48716272e-01
        1.02993134e+00       3.63602581e-01       3.02428046e-01       1.54605939e-01       3.86956622e-01       1.30688205e-01       1.48610786e-01
        1.03993067e+00       3.67478860e-01       3.03714586e-01       1.56091403e-01       3.88344148e-01       1.26634024e-01       1.48501335e-01
        1.04993000e+00       3.71368812e-01       3.04960499e-01       1.57575754e-01       3.89691555e-01       1.22562389e-01       1.48387845e-01
        1.05992934e+00       3.75272037e-01       3.06165613e-01       1.59058949e-01       3.90998626e-01       1.18473669e-01       1.48270241e-01
        1.06992867e+00       3.79188128e-01       3.07329759e-01       1.60540947e-01       3.92265144e-01       1.14368238e-01       1.48148451e-01
        1.07992800e+00       3.83116681e-01       3.08452771e-01       1.62021706e-01       3.93490897e-01       1.10246469e-01       1.48022397e-01
        1.08992734e+00       3.87057285e-01       3.09534488e-01       1.63501183e-01       3.94675676e-01       1.06108742e-01       1.47892007e-01
        1.09992667e+00       3.91009531e-01       3.10574752e-01       1.64979334e-01       3.95819273e-01       1.01955436e-01       1.47757206e-01
        1.10992600e+00       3.94973005e-01       3.11573410e-01       1.66456115e-01       3.96921485e-01       9.77869379e-02       1.47617918e-01
        1.11992534e+00       3.98947293e-01       3.12530311e-01       1.67931481e-01       3.97982109e-01       9.36036332e-02       1.47474068e-01
        1.12992467e+00       4.02931977e-01       3.13445310e-01       1.69405385e-01       3.99000947e-01       8.94059125e-02       1.47325582e-01
        1.13992401e+00       4.06926640e-01       3.14318264e-01       1.70877780e-01       3.99977803e-01       8.51941689e-02       1.47172384e-01
        1.14992334e+00       4.10930859e-01       3.15149034e-01       1.72348620e-01       4.00912484e-01       8.09687989e-02       1.47014400e-01
        1.15992267e+00       4.14944214e-01       3.15937488e-01       1.73817856e-01       4.01804800e-01       7.67302016e-02       1.46851555e-01
        1.16992201e+00       4.18966278e-01       3.16683493e-01       1.75285439e-01       4.02654563e-01       7.24787792e-02       1.46683773e-01
        1.17992134e+00       4.22996626e-01       3.17386925e-01       1.76751319e-01       4.03461590e-01       6.82149372e-02       1.46510981e-01
        1.18992067e+00       4.27034829e-01       3.18047661e-01       1.78215446e-01       4.04225700e-01       6.39390838e-02       1.46333102e-01
        1.19992001e+00       4.31080457e-01       3.18665583e-01       1.79677769e-01       4.04946715e-01       5.96516302e-02       1.46150062e-01
        1.20991934e+00       4.35133079e-01       3.19240577e-01       1.81138235e-01       4.05624461e-01       5.53529909e-02       1.45961787e-01
        1.21991867e+00       4.39192261e-01       3.19772533e-01       1.82596792e-01       4.06258765e-01       5.10435832e-02       1.45768202e-01
        1.22991801e+00       4.43257567e-01       3.20261346e-01       1.84053387e-01       4.06849459e-01       4.67238274e-02       1.45569233e-01
        1.23991734e+00       4.47328562e-01       3.20706914e-01       1.85507965e-01       4.07396379e-01       4.23941468e-02       1.45364805e-01
