Ket qua tinh toan he phuong trinh sau 198 lan lap:

####################################################################################################

    i             F1              F2              F3              f1              f2              f3              f4              f5               sai_so
  112   -0.000736447 -6339.745330676 -3660.253566860 -8965.753945795  6339.744773692  9999.999490191 -7320.507257300  6339.745013551         1.559180e-04
  113   -0.000639830 -6339.745413522 -3660.253628650 -8965.754047586  6339.744929610  9999.999557074 -7320.507364666  6339.745138001         1.354627e-04
  114   -0.000555889 -6339.745485499 -3660.253682333 -8965.754136022  6339.745065072  9999.999615183 -7320.507457947  6339.745246124         1.176909e-04
  115   -0.000482960 -6339.745548033 -3660.253728974 -8965.754212856  6339.745182763  9999.999665668 -7320.507538991  6339.745340062         1.022507e-04
  116   -0.000419599 -6339.745602363 -3660.253769495 -8965.754279610  6339.745285014  9999.999709530 -7320.507609402  6339.745421676         8.883616e-05
  117   -0.000364551 -6339.745649565 -3660.253804701 -8965.754337607  6339.745373850  9999.999747638 -7320.507670575  6339.745492583         7.718149e-05
  118   -0.000316725 -6339.745690575 -3660.253835288 -8965.754387995  6339.745451031  9999.999780746 -7320.507723723  6339.745554188         6.705583e-05
  119   -0.000275173 -6339.745726204 -3660.253861862 -8965.754431772  6339.745518087  9999.999809510 -7320.507769899  6339.745607710         5.825858e-05
  120   -0.000239072 -6339.745757159 -3660.253884949 -8965.754469806  6339.745576346  9999.999834501 -7320.507810016  6339.745654211         5.061548e-05
  121   -0.000207707 -6339.745784053 -3660.253905008 -8965.754502850  6339.745626961  9999.999856214 -7320.507844870  6339.745694611         4.397509e-05
  122   -0.000180458 -6339.745807419 -3660.253922435 -8965.754531559  6339.745670936  9999.999875077 -7320.507875152  6339.745729711         3.820587e-05
  123   -0.000156783 -6339.745827719 -3660.253937576 -8965.754556502  6339.745709142  9999.999891466 -7320.507901461  6339.745760206         3.319353e-05
  124   -0.000136214 -6339.745845356 -3660.253950731 -8965.754578172  6339.745742336  9999.999905705 -7320.507924319  6339.745786700         2.883878e-05
  125   -0.000118344 -6339.745860680 -3660.253962159 -8965.754596999  6339.745771175  9999.999918076 -7320.507944177  6339.745809719         2.505534e-05
  126   -0.000102818 -6339.745873993 -3660.253972089 -8965.754613356  6339.745796230  9999.999928824 -7320.507961431  6339.745829718         2.176826e-05
  127   -0.000089329 -6339.745885559 -3660.253980715 -8965.754627568  6339.745817998  9999.999938162 -7320.507976420  6339.745847092         1.891242e-05
  128   -0.000077610 -6339.745895608 -3660.253988210 -8965.754639915  6339.745836911  9999.999946274 -7320.507989444  6339.745862188         1.643124e-05
  129   -0.000067428 -6339.745904338 -3660.253994722 -8965.754650642  6339.745853342  9999.999953323 -7320.508000758  6339.745875303         1.427558e-05
  130   -0.000058582 -6339.745911924 -3660.254000379 -8965.754659962  6339.745867617  9999.999959446 -7320.508010589  6339.745886697         1.240273e-05
  131   -0.000050896 -6339.745918514 -3660.254005294 -8965.754668059  6339.745880020  9999.999964767 -7320.508019129  6339.745896597         1.077558e-05
  132   -0.000044219 -6339.745924239 -3660.254009565 -8965.754675093  6339.745890796  9999.999969389 -7320.508026550  6339.745905198         9.361899e-06
  133   -0.000038418 -6339.745929214 -3660.254013275 -8965.754681205  6339.745900158  9999.999973405 -7320.508032996  6339.745912670         8.133686e-06
  134   -0.000033378 -6339.745933535 -3660.254016498 -8965.754686515  6339.745908291  9999.999976894 -7320.508038597  6339.745919162         7.066605e-06
  135   -0.000028999 -6339.745937290 -3660.254019299 -8965.754691129  6339.745915358  9999.999979925 -7320.508043463  6339.745924803         6.139517e-06
  136   -0.000025194 -6339.745940552 -3660.254021732 -8965.754695137  6339.745921497  9999.999982559 -7320.508047691  6339.745929703         5.334056e-06
  137   -0.000021889 -6339.745943386 -3660.254023846 -8965.754698619  6339.745926832  9999.999984847 -7320.508051364  6339.745933961         4.634266e-06
  138   -0.000019017 -6339.745945849 -3660.254025682 -8965.754701645  6339.745931466  9999.999986835 -7320.508054555  6339.745937660         4.026283e-06
  139   -0.000016522 -6339.745947988 -3660.254027278 -8965.754704273  6339.745935492  9999.999988562 -7320.508057328  6339.745940873         3.498064e-06
  140   -0.000014355 -6339.745949847 -3660.254028664 -8965.754706557  6339.745938990  9999.999990063 -7320.508059737  6339.745943665         3.039143e-06
  141   -0.000012472 -6339.745951462 -3660.254029868 -8965.754708541  6339.745942029  9999.999991367 -7320.508061830  6339.745946091         2.640429e-06
  142   -0.000010835 -6339.745952865 -3660.254030915 -8965.754710265  6339.745944670  9999.999992499 -7320.508063648  6339.745948199         2.294024e-06
  143   -0.000009414 -6339.745954084 -3660.254031824 -8965.754711763  6339.745946964  9999.999993483 -7320.508065227  6339.745950030         1.993064e-06
  144   -0.000008179 -6339.745955143 -3660.254032614 -8965.754713064  6339.745948957  9999.999994338 -7320.508066600  6339.745951621         1.731589e-06
  145   -0.000007106 -6339.745956063 -3660.254033300 -8965.754714194  6339.745950688  9999.999995081 -7320.508067792  6339.745953003         1.504416e-06
  146   -0.000006174 -6339.745956862 -3660.254033896 -8965.754715176  6339.745952193  9999.999995726 -7320.508068828  6339.745954204         1.307048e-06
  147   -0.000005364 -6339.745957556 -3660.254034414 -8965.754716030  6339.745953500  9999.999996287 -7320.508069728  6339.745955247         1.135573e-06
  148   -0.000004660 -6339.745958160 -3660.254034864 -8965.754716771  6339.745954635  9999.999996774 -7320.508070510  6339.745956153         9.865926e-07
  149   -0.000004049 -6339.745958684 -3660.254035255 -8965.754717415  6339.745955622  9999.999997197 -7320.508071190  6339.745956941         8.571606e-07
  150   -0.000003517 -6339.745959139 -3660.254035595 -8965.754717975  6339.745956479  9999.999997565 -7320.508071780  6339.745957625         7.447070e-07
  151   -0.000003056 -6339.745959535 -3660.254035890 -8965.754718461  6339.745957224  9999.999997884 -7320.508072293  6339.745958219         6.470054e-07
  152   -0.000002655 -6339.745959879 -3660.254036146 -8965.754718883  6339.745957871  9999.999998162 -7320.508072738  6339.745958736         5.621241e-07
  153   -0.000002307 -6339.745960178 -3660.254036369 -8965.754719250  6339.745958433  9999.999998403 -7320.508073125  6339.745959184         4.883768e-07
  154   -0.000002004 -6339.745960437 -3660.254036563 -8965.754719569  6339.745958921  9999.999998613 -7320.508073462  6339.745959574         4.243047e-07
  155   -0.000001741 -6339.745960663 -3660.254036731 -8965.754719846  6339.745959346  9999.999998795 -7320.508073754  6339.745959913         3.686391e-07
  156   -0.000001513 -6339.745960858 -3660.254036877 -8965.754720087  6339.745959714  9999.999998953 -7320.508074008  6339.745960207         3.202776e-07
  157   -0.000001314 -6339.745961029 -3660.254037004 -8965.754720296  6339.745960035  9999.999999090 -7320.508074228  6339.745960463         2.782581e-07
  158   -0.000001142 -6339.745961176 -3660.254037114 -8965.754720478  6339.745960313  9999.999999210 -7320.508074420  6339.745960685         2.417528e-07
  159   -0.000000992 -6339.745961305 -3660.254037210 -8965.754720635  6339.745960555  9999.999999313 -7320.508074586  6339.745960878         2.100369e-07
  160   -0.000000862 -6339.745961417 -3660.254037293 -8965.754720772  6339.745960765  9999.999999403 -7320.508074731  6339.745961045         1.824819e-07
  161   -0.000000749 -6339.745961514 -3660.254037365 -8965.754720892  6339.745960947  9999.999999482 -7320.508074857  6339.745961191         1.585413e-07
  162   -0.000000651 -6339.745961598 -3660.254037428 -8965.754720995  6339.745961106  9999.999999550 -7320.508074966  6339.745961318         1.377412e-07
  163   -0.000000565 -6339.745961671 -3660.254037483 -8965.754721085  6339.745961243  9999.999999609 -7320.508075061  6339.745961428         1.196704e-07
  164   -0.000000491 -6339.745961735 -3660.254037530 -8965.754721163  6339.745961363  9999.999999660 -7320.508075143  6339.745961523         1.039716e-07
  165   -0.000000427 -6339.745961790 -3660.254037572 -8965.754721231  6339.745961467  9999.999999705 -7320.508075215  6339.745961606         9.033101e-08
  166   -0.000000371 -6339.745961838 -3660.254037607 -8965.754721290  6339.745961557  9999.999999743 -7320.508075277  6339.745961678         7.847939e-08
  167   -0.000000322 -6339.745961879 -3660.254037638 -8965.754721341  6339.745961636  9999.999999777 -7320.508075331  6339.745961741         6.818391e-08
