Ket qua tinh toan he phuong trinh sau 999 lan lap:

####################################################################################################

    i             F1              F2              f5              F3              f2              f3              f1              f4               sai_so
   60   -0.000000000 -251204615868602176.000000000 251204615868592192.000000000 615323129909904896.000000000 -435099157780224704.000000000 10000.000000000 -870198315560469376.000000000 753613847605793792.000000000         2.377426e+18
   61   -0.000000000 435099157780224704.000000000 -435099157780234688.000000000 -1065770924076284288.000000000 753613847605793792.000000000 10000.000000000 1507227695211567616.000000000 -1305297473340686592.000000000         4.117823e+18
   62   -0.000000000 -753613847605793792.000000000 753613847605783808.000000000 1845969389729732352.000000000 -1305297473340686592.000000000 10000.000000000 -2610594946681393152.000000000 2260841542817368576.000000000         7.132278e+18
   63   -0.000000000 1305297473340686592.000000000 -1305297473340696576.000000000 -3197312772228834816.000000000 2260841542817368576.000000000 10000.000000000 4521683085634717184.000000000 -3915892420022072320.000000000         1.235347e+19
   64   -0.000000000 -2260841542817368576.000000000 2260841542817358592.000000000 5537908169189214208.000000000 -3915892420022072320.000000000 10000.000000000 -7831784840044164096.000000000 6782524628452091904.000000000         2.139683e+19
   65 -512.000000000 3915892420022071808.000000000 -3915892420022082048.000000000 -9591938316686485504.000000000 6782524628452091904.000000000 10000.000000000 13565049256904163328.000000000 -11747677260066226176.000000000         3.706040e+19
   66   -0.000000000 -6782524628452091904.000000000 6782524628452081664.000000000 16613724507567656960.000000000 -11747677260066226176.000000000 10000.000000000 -23495354520132472832.000000000 20347573885356257280.000000000         6.419050e+19
   67   -0.000000000 11747677260066226176.000000000 -11747677260066236416.000000000 -28775814950059429888.000000000 20347573885356257280.000000000 10000.000000000 40695147770712498176.000000000 -35243031780198686720.000000000         1.111812e+20
   68   -0.000000000 -20347573885356257280.000000000 20347573885356249088.000000000 49841173522702983168.000000000 -35243031780198686720.000000000 10000.000000000 -70486063560397389824.000000000 61042721656068751360.000000000         1.925715e+20
   69   -0.000000000 35243031780198686720.000000000 -35243031780198694912.000000000 -86327444850178260992.000000000 61042721656068751360.000000000 10000.000000000 122085443312137486336.000000000 -105729095340596051968.000000000         3.335436e+20
