# Giai phuong trinh vi phan
##################################################
     i             x             y
    78   3.900000000  -0.711523607
    79   3.950000000  -1.486064192
    80   4.000000000  -2.320540606
    81   4.050000000  -3.218280813
    82   4.100000000  -4.182783329
    83   4.150000000  -5.217725975
    84   4.200000000  -6.326975056
    85   4.250000000  -7.514595028
    86   4.300000000  -8.784858648
    87   4.350000000  -10.142257654
    88   4.400000000  -11.591513983
    89   4.450000000  -13.137591575
    90   4.500000000  -14.785708768
    91   4.550000000  -16.541351342
    92   4.600000000  -18.410286224
    93   4.650000000  -20.398575893
    94   4.700000000  -22.512593532
    95   4.750000000  -24.759038951
    96   4.800000000  -27.144955322
    97   4.850000000  -29.677746782
    98   4.900000000  -32.365196930
    99   4.950000000  -35.215488272
   100   5.000000000  -38.237222671
   101   5.050000000  -41.439442833
   102   5.100000000  -44.831654904
   103   5.150000000  -48.423852217
   104   5.200000000  -52.226540269
   105   5.250000000  -56.250762957
   106   5.300000000  -60.508130184
   107   5.350000000  -65.010846856
   108   5.400000000  -69.771743382
   109   5.450000000  -74.804307730
   110   5.500000000  -80.122719127
   111   5.550000000  -85.741883482
   112   5.600000000  -91.677470635
   113   5.650000000  -97.945953505
   114   5.700000000  -104.564649248
   115   5.750000000  -111.551762521
   116   5.800000000  -118.926430976
   117   5.850000000  -126.708773063
   118   5.900000000  -134.919938308
   119   5.950000000  -143.582160146
   120   6.000000000  -152.718811478
   121   6.050000000  -162.354463067
   122   6.100000000  -172.514944924
   123   6.150000000  -183.227410851
   124   6.200000000  -194.520406282
   125   6.250000000  -206.423939604
   126   6.300000000  -218.969557134
   127   6.350000000  -232.190421937
   128   6.400000000  -246.121396686
   129   6.450000000  -260.799130767
   130   6.500000000  -276.262151843
   131   6.550000000  -292.550962125
   132   6.600000000  -309.708139559
   133   6.650000000  -327.778444212
   134   6.700000000  -346.808930103
   135   6.750000000  -366.849062770
   136   6.800000000  -387.950842862
   137   6.850000000  -410.168936059
   138   6.900000000  -433.560809657
   139   6.950000000  -458.186876152
   140   7.000000000  -484.110644180
   141   7.050000000  -511.398877194
   142   7.100000000  -540.121760275
   143   7.150000000  -570.353075489
   144   7.200000000  -602.170386233
   145   7.250000000  -635.655231028
   146   7.300000000  -670.893327243
   147   7.350000000  -707.974785264
   148   7.400000000  -746.994333634
   149   7.450000000  -788.051555732
   150   7.500000000  -831.251138589
   151   7.550000000  -876.703134441
   152   7.600000000  -924.523235706
   153   7.650000000  -974.833064036
   154   7.700000000  -1027.760474193
   155   7.750000000  -1083.439873496
   156   7.800000000  -1142.012557637
   157   7.850000000  -1203.627063716
   158   7.900000000  -1268.439541357
   159   7.950000000  -1336.614142851
   160   8.000000000  -1408.323433297
   161   8.050000000  -1483.748821754
   162   8.100000000  -1563.081014494
   163   8.150000000  -1646.520491486
   164   8.200000000  -1734.278007300
   165   8.250000000  -1826.575117674
   166   8.300000000  -1923.644733080
   167   8.350000000  -2025.731700650
   168   8.400000000  -2133.093415934
   169   8.450000000  -2246.000466000
   170   8.500000000  -2364.737305508
   171   8.550000000  -2489.602967415
   172   8.600000000  -2620.911810120
   173   8.650000000  -2758.994302889
   174   8.700000000  -2904.197851537
   175   8.750000000  -3056.887666428
   176   8.800000000  -3217.447674958
   177   8.850000000  -3386.281480799
   178   8.900000000  -3563.813372315
   179   8.950000000  -3750.489382646
   180   9.000000000  -3946.778404132
   181   9.050000000  -4153.173359844
   182   9.100000000  -4370.192435161
   183   9.150000000  -4598.380372463
   184   9.200000000  -4838.309832176
   185   9.250000000  -5090.582823575
   186   9.300000000  -5355.832208909
   187   9.350000000  -5634.723284615
   188   9.400000000  -5927.955443577
   189   9.450000000  -6236.263922560
   190   9.500000000  -6560.421639216
   191   9.550000000  -6901.241123226
   192   9.600000000  -7259.576546417
   193   9.650000000  -7636.325856920
   194   9.700000000  -8032.433022713
   195   9.750000000  -8448.890390127
   196   9.800000000  -8886.741163246
   197   9.850000000  -9347.082010362
   198   9.900000000  -9831.065804018
   199   9.950000000  -10339.904501474
