# Bai toan truyen song 1D 
# Phuong phap sai phan huu han hien
# Ghi lai vi tri va bien do cua dinh song tai moi thoi diem
#

####################################################################################################
#           t (s)  x_dinh_song_num (m)       u_dinh_song_num (m)      x_dinh_song_anal (m)      u_dinh_song_anal (m)
   1.28000000e-02       3.94366197e-01           -7.58877687e-01            3.94366197e-01           -7.57499519e-01
   1.29000000e-02       3.87323944e-01           -7.66868866e-01            3.87323944e-01           -7.66392614e-01
   1.30000000e-02       3.80281690e-01           -7.74806917e-01            3.80281690e-01           -7.75130197e-01
   1.31000000e-02       3.73239437e-01           -7.82654791e-01            3.73239437e-01           -7.83675692e-01
   1.32000000e-02       3.66197183e-01           -7.90381266e-01            3.66197183e-01           -7.91960511e-01
   1.33000000e-02       3.59154930e-01           -7.97969098e-01            3.59154930e-01           -7.99936122e-01
   1.34000000e-02       3.59154930e-01           -8.06166347e-01            3.52112676e-01           -8.07609482e-01
   1.35000000e-02       3.52112676e-01           -8.14493481e-01            3.45070423e-01           -8.14961984e-01
   1.36000000e-02       3.45070423e-01           -8.22730591e-01            3.38028169e-01           -8.22006013e-01
   1.37000000e-02       3.38028169e-01           -8.30844695e-01            3.30985915e-01           -8.28813284e-01
   1.38000000e-02       3.30985915e-01           -8.38814353e-01            3.30985915e-01           -8.36742611e-01
   1.39000000e-02       3.23943662e-01           -8.46634813e-01            3.23943662e-01           -8.45617462e-01
   1.40000000e-02       3.16901408e-01           -8.54319151e-01            3.16901408e-01           -8.54334181e-01
   1.41000000e-02       3.09859155e-01           -8.61895328e-01            3.09859155e-01           -8.62815593e-01
   1.42000000e-02       3.02816901e-01           -8.69400006e-01            3.02816901e-01           -8.71053692e-01
   1.43000000e-02       3.02816901e-01           -8.77716531e-01            2.95774648e-01           -8.78985145e-01
   1.44000000e-02       2.95774648e-01           -8.85955141e-01            2.88732394e-01           -8.86574219e-01
   1.45000000e-02       2.88732394e-01           -8.94045522e-01            2.81690141e-01           -8.93879440e-01
   1.46000000e-02       2.81690141e-01           -9.02008549e-01            2.74647887e-01           -9.00888342e-01
   1.47000000e-02       2.74647887e-01           -9.09876024e-01            2.67605634e-01           -9.07622083e-01
   1.48000000e-02       2.67605634e-01           -9.17683818e-01            2.67605634e-01           -9.16007938e-01
   1.49000000e-02       2.60563380e-01           -9.25464435e-01            2.60563380e-01           -9.24822695e-01
   1.50000000e-02       2.53521127e-01           -9.33240591e-01            2.53521127e-01           -9.33516572e-01
   1.51000000e-02       2.46478873e-01           -9.41021107e-01            2.46478873e-01           -9.41980658e-01
   1.52000000e-02       2.39436620e-01           -9.48799879e-01            2.39436620e-01           -9.50110315e-01
   1.53000000e-02       2.39436620e-01           -9.56613640e-01            2.32394366e-01           -9.58010612e-01
   1.54000000e-02       2.32394366e-01           -9.64751507e-01            2.25352113e-01           -9.65581176e-01
   1.55000000e-02       2.25352113e-01           -9.72864750e-01            2.18309859e-01           -9.72725495e-01
   1.56000000e-02       2.18309859e-01           -9.80913875e-01            2.11267606e-01           -9.79771504e-01
   1.57000000e-02       2.11267606e-01           -9.88255125e-01            2.04225352e-01           -9.86559337e-01
   1.58000000e-02       2.11267606e-01           -9.91263081e-01            2.04225352e-01           -9.95438115e-01
   1.59000000e-02       2.04225352e-01           -9.88322324e-01            2.04225352e-01           -9.90312800e-01
   1.60000000e-02       2.04225352e-01           -9.75069877e-01            2.11267606e-01           -9.83262610e-01
   1.61000000e-02       2.25352113e-01           -9.63513302e-01            2.18309859e-01           -9.75567234e-01
   1.62000000e-02       2.25352113e-01           -9.60300628e-01            2.25352113e-01           -9.67742640e-01
   1.63000000e-02       2.25352113e-01           -9.48019370e-01            2.32394366e-01           -9.59603460e-01
   1.64000000e-02       2.39436620e-01           -9.42145241e-01            2.39436620e-01           -9.51097264e-01
   1.65000000e-02       2.39436620e-01           -9.33162296e-01            2.46478873e-01           -9.42443938e-01
   1.66000000e-02       2.53521127e-01           -9.25911849e-01            2.53521127e-01           -9.33617779e-01
   1.67000000e-02       2.53521127e-01           -9.17874661e-01            2.53521127e-01           -9.25253270e-01
   1.68000000e-02       2.67605634e-01           -9.09373955e-01            2.60563380e-01           -9.18514316e-01
   1.69000000e-02       2.67605634e-01           -9.01862444e-01            2.67605634e-01           -9.11482604e-01
